Time,Track,Instrument,Beat,Octave,Note,Frequency,Duration,"Force (%)"
15762,8,,118,6,Re,587.33,Half,63
15763,7,,118,6,Re,587.33,Half,64
15780,2,,118,4,Do#,138.59,Half,81
15837,5,,118,4,La,220,Sixteenth,81
15838,3,,118,3,La,110,Whole,77
15839,6,,118,7,Do#,1108.73,Half,79
15840,2,,118,4,Do#,138.59,Sixteenth,77
15840,2,,118,4,Sol,196,Whole,77
15841,5,,118,5,Mi,329.63,Sixteenth,77
15841,7,,118,6,Mi,659.25,Half,61
15842,5,,118,5,La,440,Whole,80
15842,8,,118,6,Mi,659.25,Half,65
15897,6,,118,7,Do#,1108.73,Half,77
15897,13,,118,7,Do#,1108.73,Quarter,78
15899,7,,118,6,Mi,659.25,Half,61
15900,8,,118,6,Mi,659.25,Half,64
15901,14,,118,6,La,880,Quarter,80
15958,6,,118,7,Do#,1108.73,Half,79
15958,14,,118,6,La,880,Quarter,80
15960,7,,118,6,Mi,659.25,Half,61
15960,8,,118,6,Mi,659.25,Half,64
15961,2,,118,4,Sol,196,Sixteenth,81
15962,2,,118,4,Re,146.83,Half,79
15963,13,,118,7,Do#,1108.73,Quarter,77
16017,7,,118,6,Mi,659.25,Half,64
16020,2,,118,4,Do#,138.59,Half,80
16020,3,,118,4,Fa#,185,Whole,81
16020,13,,118,7,Do#,1108.73,Quarter,78
16021,5,,118,6,Fa#,739.99,Sixteenth,80
16021,5,,118,5,Fa#,369.99,Sixteenth,78
16021,6,,118,7,Do#,1108.73,Half,78
