Time,Track,Instrument,Beat,Octave,Note,Duration,"Force (%)"
50280,3,"INTRO LEAD",116,3,"La #",Half,79
50280,4,"BACKGROUND SYNTH",116,3,"La #",Half,79
50280,5,,116,7,"Re #",Quarter,79
50280,7,,116,4,"Do #",Quarter,79
50280,7,,116,5,Re,Eighth,79
50280,8,,116,6,"Re #",Quarter,79
50280,9,,116,6,"Re #",Quarter,79
50281,2,,118,4,"Do #",Sixteenth,82
50282,2,,118,4,"Sol #",Half,76
50282,3,,118,3,"La #",Half,76
50283,5,,118,4,"La #",Half,80
50300,10,,111,4,Re,Whole,80
50300,10,,111,5,"Re #",Whole,69
50304,2,,111,4,Sol,Whole,98
50304,3,"INTRO LEAD",84,4,Si,Whole,71
50304,7,,84,4,Si,Whole,71
50304,9,,84,4,Si,Whole,71
50304,9,,84,5,Si,Whole,71
50304,9,,84,6,Re,Whole,71
50304,9,,84,6,Sol,Whole,71
50310,3,"INTRO LEAD",69,5,"La #",Whole,100
50310,2,BASSLINE,116,5,"Do #",Quarter,79
50310,2,BASSLINE,116,5,"La #",Quarter,79
50310,2,BASSLINE,116,6,"Re #",Quarter,79
50310,5,,116,7,"Re #",Quarter,79
50310,8,,116,6,"Re #",Quarter,79
50310,9,,116,6,"Re #",Quarter,79
50339,2,,118,4,"Sol #",Sixteenth,80
50340,3,,118,3,"La #",Half,81
50340,2,BASSLINE,116,5,"Do #",Quarter,79
50340,2,BASSLINE,116,5,"La #",Quarter,79
50340,2,BASSLINE,116,6,"Re #",Half,79
50340,5,,116,7,"Re #",Half,79
50340,7,,116,5,Re,Eighth,79
50340,8,,116,6,"Re #",Quarter,79
50340,9,,116,6,"Re #",Quarter,79
50341,2,,118,4,Re,Sixteenth,85
50341,5,,118,5,"Fa #",Sixteenth,80
50342,2,,118,4,"Do #",Half,83
50342,5,,118,4,"La #",Half,79
50370,3,"INTRO LEAD",69,6,Mi,Whole,100
50370,7,,116,4,"Do #",Eighth,79
50370,8,,116,6,"Re #",Quarter,79
50370,9,,116,6,"Re #",Quarter,79
50398,2,,118,4,"Do #",Sixteenth,78
50398,3,,118,4,Re,Whole,80
50399,5,,118,6,Re,Sixteenth,80
50399,5,,118,5,Re,Sixteenth,79
50400,3,"INTRO LEAD",84,5,Re,Whole,71
50400,6,,112,3,"Sol #",Whole,100
50400,7,,84,5,Re,Whole,71
50400,11,,112,4,Do,Sixteenth,100
50400,13,,112,4,"Fa #",Sixteenth,100
50400,3,"INTRO LEAD",116,5,"Fa #",Quarter,79
50400,9,,118,7,Mi,Whole,71
50400,4,"BACKGROUND SYNTH",116,5,"Fa #",Quarter,79
50400,10,,118,7,Sol,Whole,71
50400,5,,116,7,"Fa #",Quarter,79
50400,7,,116,5,Do,Eighth,79
50400,8,,116,6,"Re #",Whole,79
50400,9,,116,6,"Re #",Whole,79
50402,2,,118,5,La,Whole,78
50403,5,,118,5,La,Whole,80
50420,7,,116,5,Do,Eighth,79
50430,3,"INTRO LEAD",69,5,"La #",Whole,100
50430,3,"INTRO LEAD",116,5,"Fa #",Quarter,79
50430,4,"BACKGROUND SYNTH",116,5,"Fa #",Quarter,79
50430,5,,116,7,"Fa #",Quarter,79
50440,7,,116,5,Do,Eighth,79
50458,7,,118,6,"Fa #",Half,65
50458,8,,118,6,"Fa #",Half,65
50459,6,,118,7,"Fa #",Half,77
50460,2,BASSLINE,116,5,"Do #",Half,79
50460,2,BASSLINE,116,5,"Re #",Half,79
50460,2,BASSLINE,116,5,"Sol #",Half,79
50460,2,BASSLINE,116,6,"Do #",Half,79
50460,2,BASSLINE,116,6,"Re #",Half,79
